;milpaH? apiculturaH? carbonH? turismoH?
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true
true true true true

