parametroSigmoidea1,parametroSigmoidea2,probQuemarse,mediaDuracionBiomasComb,mediana,q1,q3,rangoInter,porcentajeAfectadosNoTormenta
23,0.02,96,0.56,9,276,126,687,561,15.187
7,0.02,74,0.56,6,391.5,149.25,716.25,567,21.755
72,0.025,96,0.6,12,333,105.75,703.5,597.75,10.433
28,0.02,96,0.7,6,307.5,133.5,778.5,645,15.187
5,0.02,74,0.5,9,465,198.75,892.5,693.75,21.755
99,0.03,74,0.56,12,349.5,62.25,847.5,785.25,12.786
51,0.025,74,0.5,12,466.5,148.5,956.25,807.75,16.798
120,0.03,96,0.7,12,210,47.25,885.75,838.5,7.044
74,0.025,96,0.7,9,343.5,106.5,959.25,852.75,10.433
44,0.02,111,0.7,9,646.5,230.25,1225.5,995.25,11.712
26,0.02,96,0.6,9,631.5,227.25,1279.5,1052.25,15.187
53,0.025,74,0.56,9,481.5,89.25,1148.25,1059,16.798
10,0.02,74,0.6,6,526.5,107.25,1176.75,1069.5,21.755
6,0.02,74,0.5,12,763.5,187.5,1299,1111.5,21.755
101,0.03,74,0.6,9,259.5,77.25,1273.5,1196.25,12.786
42,0.02,111,0.6,12,580.5,156,1566,1410,11.712
58,0.025,74,0.7,6,499.5,146.25,1768.5,1622.25,16.798
56,0.025,74,0.6,9,1039.5,354,1988.25,1634.25,16.798
195,0.04,74,0.7,12,219,69.75,1727.25,1657.5,7.176
24,0.02,96,0.56,12,880.5,151.5,1810.5,1659,15.187
104,0.03,74,0.7,9,627,91.5,1881.75,1790.25,12.786
102,0.03,74,0.6,12,924,342,2136,1794,12.786
54,0.025,74,0.56,12,1591.5,636,2622.75,1986.75,16.798
8,0.02,74,0.56,9,1293,323.25,2468.25,2145,21.755
75,0.025,96,0.7,12,1366.5,489,3123,2634,10.433
150,0.035,74,0.7,12,1107,354.75,3201.75,2847,9.622
