parametro_n,separar_por_n,media,sd.promedio,cv.promedio
1,Other,normal,0.3,0.22,73.93
2,Other,increase storms,0.27,0.21,78.36
3,Other,increase forest fires,0.3,0.22,73.68
4,Other,decrease tourism,0.29,0.22,73.81
5,Traditional,normal,0.86,0.23,26.6
6,Traditional,increase storms,0.78,0.25,32.45
7,Traditional,increase forest fires,0.86,0.22,25.69
8,Traditional,decrease tourism,0.86,0.23,26.35
9,Mixed,normal,3.39,0.73,21.54
10,Mixed,increase storms,3.19,0.81,25.36
11,Mixed,increase forest fires,3.36,0.77,22.96
12,Mixed,decrease tourism,2.64,0.7,26.42
13,Service Oriented,normal,4.51,1.15,25.61
14,Service Oriented,increase storms,4.25,1.3,30.65
15,Service Oriented,increase forest fires,4.45,1.27,28.54
16,Service Oriented,decrease tourism,3.25,1.09,33.68
